id,precinct,office,candidate,party,votes
1,Albion 1,Governor (DEM),,,
2,Albion 1,Governor (DEM),,,
3,Albion 1,Governor (DEM),Ballots,,19
4,Albion 1,Governor (DEM),Cynthia E. Nixon,,10
5,Albion 1,Governor (DEM),Andrew M. Cuomo,,9
6,Albion 1,Governor (DEM),Write-ins,,0
7,Albion 1,Governor (DEM),Voids/Blanks,,0
8,Albion 2,Governor (DEM),,,
9,Albion 2,Governor (DEM),Ballots,,23
10,Albion 2,Governor (DEM),Cynthia E. Nixon,,11
11,Albion 2,Governor (DEM),Andrew M. Cuomo,,12
12,Albion 2,Governor (DEM),Write-ins,,0
13,Albion 2,Governor (DEM),Voids/Blanks,,0
14,Amboy 1,Governor (DEM),,,
15,Amboy 1,Governor (DEM),Ballots,,25
16,Amboy 1,Governor (DEM),Cynthia E. Nixon,,8
17,Amboy 1,Governor (DEM),Andrew M. Cuomo,,17
18,Amboy 1,Governor (DEM),Write-ins,,0
19,Amboy 1,Governor (DEM),Voids/Blanks,,0
20,Boylston 1,Governor (DEM),,,
21,Boylston 1,Governor (DEM),Ballots,,20
22,Boylston 1,Governor (DEM),Cynthia E. Nixon,,10
23,Boylston 1,Governor (DEM),Andrew M. Cuomo,,10
24,Boylston 1,Governor (DEM),Write-ins,,0
25,Boylston 1,Governor (DEM),Voids/Blanks,,0
26,Constantia 1,Governor (DEM),,,
27,Constantia 1,Governor (DEM),Ballots,,38
28,Constantia 1,Governor (DEM),Cynthia E. Nixon,,11
29,Constantia 1,Governor (DEM),Andrew M. Cuomo,,27
30,Constantia 1,Governor (DEM),Write-ins,,0
31,Constantia 1,Governor (DEM),Voids/Blanks,,0
32,Constantia 2,Governor (DEM),,,
33,Constantia 2,Governor (DEM),Ballots,,23
34,Constantia 2,Governor (DEM),Cynthia E. Nixon,,13
35,Constantia 2,Governor (DEM),Andrew M. Cuomo,,10
36,Constantia 2,Governor (DEM),Write-ins,,0
37,Constantia 2,Governor (DEM),Voids/Blanks,,0
38,Constantia 3,Governor (DEM),,,
39,Constantia 3,Governor (DEM),Ballots,,21
40,Constantia 3,Governor (DEM),Cynthia E. Nixon,,13
41,Constantia 3,Governor (DEM),Andrew M. Cuomo,,8
42,Constantia 3,Governor (DEM),Write-ins,,0
43,Constantia 3,Governor (DEM),Voids/Blanks,,0
44,Constantia 4,Governor (DEM),,,
45,Constantia 4,Governor (DEM),Ballots,,30
46,Constantia 4,Governor (DEM),Cynthia E. Nixon,,10
47,Constantia 4,Governor (DEM),Andrew M. Cuomo,,20
48,Constantia 4,Governor (DEM),Write-ins,,0
49,Constantia 4,Governor (DEM),Voids/Blanks,,0
50,Granby 1,Governor (DEM),,,
51,Granby 1,Governor (DEM),Ballots,,44
52,Granby 1,Governor (DEM),Cynthia E. Nixon,,19
53,Granby 1,Governor (DEM),Andrew M. Cuomo,,23
54,Granby 1,Governor (DEM),Write-ins,,0
55,Granby 1,Governor (DEM),Voids/Blanks,,2
56,Granby 2,Governor (DEM),,,
57,Granby 2,Governor (DEM),Ballots,,21
58,Granby 2,Governor (DEM),Cynthia E. Nixon,,10
59,Granby 2,Governor (DEM),Andrew M. Cuomo,,11
60,Granby 2,Governor (DEM),Write-ins,,0
61,Granby 2,Governor (DEM),Voids/Blanks,,0
62,Granby 3,Governor (DEM),,,
63,Granby 3,Governor (DEM),Ballots,,20
64,Granby 3,Governor (DEM),Cynthia E. Nixon,,8
65,Granby 3,Governor (DEM),Andrew M. Cuomo,,10
66,Granby 3,Governor (DEM),Write-ins,,0
67,Granby 3,Governor (DEM),Voids/Blanks,,2
68,Granby 4,Governor (DEM),,,
69,Granby 4,Governor (DEM),Ballots,,21
70,Granby 4,Governor (DEM),Cynthia E. Nixon,,12
71,Granby 4,Governor (DEM),Andrew M. Cuomo,,9
72,Granby 4,Governor (DEM),Write-ins,,0
73,Granby 4,Governor (DEM),Voids/Blanks,,0
74,Granby 5,Governor (DEM),,,
75,Granby 5,Governor (DEM),Ballots,,30
76,Granby 5,Governor (DEM),Cynthia E. Nixon,,15
77,Granby 5,Governor (DEM),Andrew M. Cuomo,,14
78,Granby 5,Governor (DEM),Write-ins,,0
79,Granby 5,Governor (DEM),Voids/Blanks,,1
80,Hannibal 1,Governor (DEM),,,
81,Hannibal 1,Governor (DEM),Ballots,,10
82,Hannibal 1,Governor (DEM),Cynthia E. Nixon,,9
83,Hannibal 1,Governor (DEM),Andrew M. Cuomo,,1
84,Hannibal 1,Governor (DEM),Write-ins,,0
85,Hannibal 1,Governor (DEM),Voids/Blanks,,0
86,Hannibal 2,Governor (DEM),,,
87,Hannibal 2,Governor (DEM),Ballots,,31
88,Hannibal 2,Governor (DEM),Cynthia E. Nixon,,15
89,Hannibal 2,Governor (DEM),Andrew M. Cuomo,,16
90,Hannibal 2,Governor (DEM),Write-ins,,0
91,Hannibal 2,Governor (DEM),Voids/Blanks,,0
92,Hannibal 3,Governor (DEM),,,
93,Hannibal 3,Governor (DEM),Ballots,,35
94,Hannibal 3,Governor (DEM),Cynthia E. Nixon,,12
95,Hannibal 3,Governor (DEM),Andrew M. Cuomo,,22
96,Hannibal 3,Governor (DEM),Write-ins,,0
97,Hannibal 3,Governor (DEM),Voids/Blanks,,1
98,Hannibal 4,Governor (DEM),,,
99,Hannibal 4,Governor (DEM),Ballots,,35
100,Hannibal 4,Governor (DEM),Cynthia E. Nixon,,22
101,Hannibal 4,Governor (DEM),Andrew M. Cuomo,,12
102,Hannibal 4,Governor (DEM),Write-ins,,0
103,Hannibal 4,Governor (DEM),Voids/Blanks,,1
104,Hastings 1,Governor (DEM),,,
105,Hastings 1,Governor (DEM),Ballots,,38
106,Hastings 1,Governor (DEM),Cynthia E. Nixon,,17
