Contest,Candidate Issue,Party,District Name,Absentee Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 1 D 1 LD 8  1 LD 8,30,0,76,106,47.53
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 1 D 2 LD 8 LD 8,156,0,398,554,60.15
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 1 D 3 LD 9 LD 9,4,0,11,15,39.47
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 2 D 1 LD 8 LD 8,29,0,172,201,53.32
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 2 D 2 LD 9 LD 9,18,0,61,79,52.67
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 3 D 1 LD 9 LD 9,37,0,237,274,54.80
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 3 D 2 LD 9 LD 9,40,0,299,339,58.96
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 4 D 1 LD 10 LD 10,59,0,295,354,57.10
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 4 D 2 LD 10 LD 10,59,0,290,349,57.40
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 5 D 1 LD 10 LD 10,28,0,172,200,60.61
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 5 D 2 LD 10 LD 10,53,0,309,362,58.48
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 6 D 1 LD 9 LD 9,49,0,223,272,65.70
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,City of Plattsburgh Ward 6 D 2 LD 10 LD 10,33,0,120,153,64.29
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Altona 1 LD 2 LD 2,33,0,191,224,27.59
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of AuSable 1 LD 7 LD 7,18,0,135,153,30.24
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of AuSable 2 LD 7 LD 7,16,0,178,194,39.27
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Beekmantown 1 LD 3 LD 3,30,0,150,180,41.28
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Beekmantown 2 LD 3 LD 3,32,0,116,148,31.09
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Beekmantown 3 LD 4 LD 4,29,0,303,332,49.48
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Beekmantown 4 LD 3 LD 3,24,0,197,221,34.00
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Black Brook 1 LD 6 LD 6,17,0,111,128,27.65
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Black Brook 2 LD 6 LD 6,5,0,68,73,40.33
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Champlain 1 LD 1 LD 1,55,0,202,257,40.41
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Champlain 2 LD 1 LD 1,36,0,272,308,43.20
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Champlain 3 LD 1 LD 1,24,0,209,233,33.97
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Chazy 1 LD 3 LD 3,31,0,276,307,39.01
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Chazy 2 LD 3 LD 3,37,0,247,284,36.32
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Clinton 1 LD 2 LD 2,11,0,52,63,25.82
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Dannemora 1 LD 6 LD 6,8,0,37,45,28.85
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Dannemora 2 LD 2 LD 2,17,0,80,97,31.29
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Dannemora 3 LD 2 LD 2,8,0,68,76,26.39
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Ellenburg 1 LD 2 LD 2,40,0,153,193,26.47
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Mooers 1 LD 1 LD 1,27,0,182,209,25.36
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Mooers 2 LD 2 LD 2,8,0,95,103,24.35
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Peru 1 LD 7 LD 7,30,0,157,187,36.03
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Peru 2 LD 7 LD 7,27,0,265,292,40.95
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Peru 3 LD 7 LD 7,18,0,115,133,25.43
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Peru 4 LD 5 LD 5,27,0,327,354,39.73
"Governor and Lieutenant Governor ",Kathy C. Hochul and Antonio Delgado,DEM,Town of Plattsburgh 1 LD 4 LD 4,30,0,172,202,48.67
