Contest,Candidate Issue,Party,District Name,Absentee Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003001 ",0,71,156,227,45.58
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003002 ",0,89,151,240,43.09
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003003 ",0,100,188,288,45.43
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003004 ",0,94,217,311,45.53
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003005 ",0,97,265,362,46.17
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003006 ",0,93,167,260,45.06
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003007 ",0,127,243,370,46.31
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003008 ",0,113,222,335,48.06
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003009 ",0,52,102,154,44.77
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003010 ",0,96,173,269,49.45
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003011 ",0,51,150,201,44.67
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003012 ",0,26,122,148,45.68
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 003013 ",0,6,14,20,52.63
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 004001 ",0,82,434,516,89.58
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 004002 ",0,88,318,406,77.48
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 004003 ",0,58,247,305,80.05
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 004004 ",0,75,244,319,68.90
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 004005 ",0,100,269,369,76.88
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 004006 ",0,59,143,202,72.92
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 004007 ",0,62,277,339,68.21
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 004008 ",0,78,258,336,66.80
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 005001 ",0,96,269,365,52.75
