Contest,Candidate Issue,Party,District Name,Absentee Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W1 D1 LD 8 ",98,62,30,190,56.55
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W1 D2 LD 8 ",340,307,105,752,62.72
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W1 D3 LD 9 ",13,8,4,25,41.67
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W2 D1 LD 8 ",128,137,83,348,60.52
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W2 D2 LD 9 ",69,69,46,184,64.56
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W3 D1 LD 9 ",154,152,122,428,63.50
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W3 D2 LD 9 ",149,164,149,462,61.93
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W4 D1 LD 10 ",165,227,166,558,61.93
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W4 D2 LD 10 ",150,212,121,483,63.64
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W5 D1 LD 10 ",118,164,58,340,66.15
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W5 D2 LD 10 ",193,284,96,573,66.94
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W6 D1 LD 9 ",157,194,76,427,66.51
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"City of Plattsburgh W6 D2 LD 10 ",86,112,53,251,66.40
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"Town of Altona D1 LD 2 ",100,39,234,373,36.21
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"Town of AuSable D1 LD 7 ",78,50,137,265,39.14
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"Town of AuSable D2 LD 7 ",76,75,130,281,44.25
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"Town of Beekmantown D1 LD 3 ",94,97,95,286,49.83
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. Biden and Kamala D. Harris,DEM,"Town of Beekmantown D2 LD 3 ",67,66,148,281,45.92
