Contest,Candidate Issue,Party,District Name,Total Votes,% of Total Votes
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 3/1,3/2, 3/3, 3/11 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 3/4, 3/5, 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 3/6, 3/7, 3/9, 3/10, 3/12 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 4/1 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 4/2, 4/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 4/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 4/5, 4/6, 4/7, 4/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 5/1, 5/2, 5/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 5/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 5/5, 5/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 6/1, 6/2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 6/3, 6/4, 6/5, 6/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 6/6, 6/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 6/9, 6/10 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/1 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/10 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/1 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/10 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/11 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/1 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/10 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/11 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/12 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 3/1, 3/2, 3/3, 3/11 ",14,3.46
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 3/4, 3/5, 3/8 ",6,1.93
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 3/6, 3/7, 3/9, 3/10, 3/12 ",12,2.71
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 4/1 ",1,0.60
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 4/2, 4/4 ",4,2.04
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 4/3 ",2,1.80
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 4/5, 4/6, 4/7, 4/8 ",6,1.70
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 5/1, 5/2, 5/3 ",8,1.98
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 5/4 ",2,2.04
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 5/5, 5/6 ",3,1.47
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 6/1, 6/2 ",3,1.18
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 6/3, 6/4, 6/5, 6/8 ",5,1.54
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 6/6, 6/7 ",1,0.91
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 6/9, 6/10 ",8,4.57
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/1, 1/2, 1/3, 1/8, 1/9, 1/10, 2/4, 2/6 ",17,3.97
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/4, 1/5, 1/6, 1/7 ",2,0.78
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/1, 2/2, 2/3, 2/5, 2/7, 2/8, 2/9, 2/10, 2/11 ",6,1.21
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",11,3.08
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",14,3.76
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/1, 1/2, 1/3, 1/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/10, 2/4, 2/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/1, 1/2, 1/3, 1/8, 1/9, 1/10, 2/4, 2/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/4, 1/5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/6, 1/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/7, 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 1/4, 1/5, 1/6, 1/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 2/1, 2/2, 2/3, 2/5, 2/7, 2/8, 2/9, 2/10, 2/11  ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Pete Buttigieg,DM1,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
